58545.53 18.0 0.03 B
58547.77 17.88 0.04 B
58548.14 18.0 0.05 B
58549.01 18.21 0.09 B
58551.15 19.44 0.07 B
58552.07 20.0 0.06 B
58553.1 20.7 0.06 B
58554.13 21.48 0.12 B
58555.12 21.96 0.1 B
58555.2 21.89 0.11 B
58555.27 22.01 0.14 B
58546.02 17.74 0.05 g
58546.87 17.68 0.02 g
58548.88 17.89 0.03 g
58550.26 18.41 0.02 g
58553.88 20.27 0.04 g
58554.86 20.85 0.05 g
58555.85 21.37 0.08 g
58556.85 21.4 0.6 g
58557.89 22.1 0.4 g
58559.03 22.4 0.3 g
58559.06 22.4 0.1 g
58545.53 17.71 0.03 V
58547.77 17.57 0.03 V
58548.14 17.62 0.1 V
58549.01 17.82 0.06 V
58551.15 18.46 0.1 V
58552.07 18.84 0.05 V
58553.1 19.44 0.05 V
58554.13 20.04 0.1 V
58554.75 20.26 0.17 V
58555.12 20.68 0.12 V
58555.2 20.68 0.07 V
58555.27 20.62 0.07 V
58546.02 17.58 0.05 r
58546.87 17.54 0.04 r
58548.88 17.66 0.03 r
58550.26 17.95 0.02 r
58553.88 19.59 0.04 r
58554.86 20.06 0.03 r
58555.85 20.69 0.01 r
58556.85 21.0 0.2 r
58557.89 21.1 0.3 r
58559.03 21.8 0.3 r
58559.06 21.8 0.2 r
58548.14 17.39 0.09 R
58551.15 18.07 0.13 R
58554.13 19.42 0.08 R
58555.12 20.1 0.07 R
58556.12 20.58 0.12 R
58546.02 17.69 0.03 i
58546.87 17.68 0.04 i
58548.88 17.74 0.02 i
58550.26 18.0 0.02 i
58553.88 19.55 0.06 i
58554.86 19.99 0.03 i
58555.85 20.42 0.06 i
58556.85 20.8 0.1 i
58559.03 21.5 0.4 i
58559.06 21.5 0.3 i
58548.14 17.26 0.08 I
58551.15 17.81 0.07 I
58554.13 19.05 0.13 I
58555.12 19.48 0.09 I
58556.12 19.98 0.19 I
58546.02 17.76 0.04 z
58546.87 17.71 0.04 z
58548.88 17.76 0.02 z
58550.26 17.95 0.02 z
58553.88 19.22 0.06 z
58554.86 19.67 0.05 z
58555.85 20.09 0.08 z
58556.85 20.3 0.1 z
58557.89 20.7 0.3 z
58559.06 21.1 0.1 z
