58530.65 19.41 0.02 B
58539.95 20.23 0.07 B
58544.21 20.66 0.08 B
58548.18 20.77 0.09 B
58552.14 20.99 0.18 B
58558.18 21.44 0.37 B
58565.12 21.0 0.34 B
58569.12 21.34 0.08 B
58578.84 21.11 0.07 B
58523.95 18.63 0.01 g
58526.43 18.67 0.03 g
58527.5 18.63 0.01 g
58532.21 18.65 0.04 g
58538.04 19.13 0.03 g
58538.28 19.14 0.15 g
58539.96 19.3 0.03 g
58541.04 19.48 0.04 g
58541.27 19.49 0.13 g
58544.06 19.65 0.04 g
58546.27 19.8 0.11 g
58546.9 19.9 0.07 g
58552.15 20.07 0.05 g
58553.96 20.12 0.05 g
58556.88 20.18 0.1 g
58558.19 20.34 0.07 g
58567.25 20.59 0.2 g
58569.13 20.48 0.06 g
58572.25 20.46 0.21 g
58575.27 20.53 0.07 g
58577.13 20.38 0.09 g
58580.23 20.32 0.07 g
58583.94 20.21 0.07 g
58586.17 20.3 0.21 g
58590.9 20.04 0.23 g
58600.49 20.65 0.07 g
58601.23 20.72 0.1 g
58608.21 20.67 0.17 g
58612.17 20.84 0.1 g
58622.99 20.41 0.17 g
58539.95 18.76 0.03 V
58544.21 19.22 0.03 V
58548.19 19.5 0.04 V
58552.14 19.66 0.09 V
58558.19 19.93 0.15 V
58565.13 20.05 0.09 V
58569.13 20.15 0.05 V
58577.13 20.11 0.05 V
58578.84 20.12 0.06 V
58580.13 20.22 0.12 V
58514.44 20.45 0.19 r
58523.95 18.07 0.01 r
58527.5 17.96 0.01 r
58538.04 18.15 0.01 r
58538.25 18.15 0.13 r
58539.96 18.36 0.02 r
58540.26 18.24 0.03 r
58541.04 18.34 0.01 r
58541.3 18.56 0.13 r
58544.06 18.49 0.01 r
58546.9 18.72 0.03 r
58553.97 19.04 0.02 r
58556.89 19.06 0.06 r
58558.2 19.31 0.04 r
58558.21 19.21 0.12 r
58559.25 19.17 0.05 r
58563.91 19.58 0.15 r
58565.14 19.44 0.1 r
58567.23 19.28 0.05 r
58569.14 19.48 0.03 r
58572.28 19.4 0.06 r
58580.23 19.48 0.07 r
58582.22 19.59 0.08 r
58583.26 19.62 0.05 r
58583.94 19.66 0.04 r
58586.2 19.68 0.08 r
58590.9 19.5 0.13 r
58594.16 19.72 0.05 r
58597.33 19.81 0.04 r
58600.5 19.86 0.1 r
58601.26 19.81 0.06 r
58608.22 19.89 0.06 r
58612.19 20.0 0.07 r
58618.27 19.83 0.21 r
58622.99 20.1 0.1 r
58634.19 20.28 0.16 r
58637.18 20.25 0.15 r
58523.95 18.19 0.01 i
58527.5 18.01 0.01 i
58532.21 18.02 0.03 i
58538.04 18.03 0.02 i
58541.04 18.14 0.02 i
58544.07 18.37 0.01 i
58546.9 18.43 0.02 i
58548.2 18.73 0.02 i
58553.97 18.72 0.03 i
58556.89 18.86 0.13 i
58558.2 19.24 0.04 i
58558.27 19.06 0.1 i
58563.91 18.92 0.08 i
58569.15 19.44 0.08 i
58578.86 19.32 0.05 i
58583.94 19.45 0.05 i
58590.9 19.47 0.11 i
58623.0 20.65 0.23 i
58523.95 18.14 0.02 z
58527.5 17.96 0.01 z
58538.04 17.93 0.02 z
58541.04 17.98 0.02 z
58544.07 18.12 0.02 z
58546.9 18.2 0.04 z
58553.97 18.41 0.03 z
58563.91 18.44 0.07 z
58583.94 18.85 0.04 z
58590.9 18.87 0.12 z
58623.0 19.74 0.21 z
