wave	flux	eflux
3.17630859e+03	5.37923000e-14	5.37923000e-15
3.17691954e+03	5.23567400e-14	5.23567400e-15
3.17753050e+03	5.33789900e-14	5.33789900e-15
3.17814145e+03	5.43781700e-14	5.43781700e-15
3.17875240e+03	5.49509700e-14	5.49509700e-15
3.17936335e+03	5.60043800e-14	5.60043800e-15
3.17997430e+03	5.68820500e-14	5.68820500e-15
3.18058525e+03	5.76949700e-14	5.76949700e-15
3.18119620e+03	5.64244700e-14	5.64244700e-15
3.18180715e+03	5.62808000e-14	5.62808000e-15
3.18241810e+03	5.24707800e-14	5.24707800e-15
3.18302905e+03	5.44353400e-14	5.44353400e-15
3.18364000e+03	5.61352400e-14	5.61352400e-15
3.18425095e+03	5.52820700e-14	5.52820700e-15
3.18486190e+03	5.59833700e-14	5.59833700e-15
3.18547286e+03	5.68895000e-14	5.68895000e-15
3.18608381e+03	5.51026500e-14	5.51026500e-15
3.18669476e+03	5.59042100e-14	5.59042100e-15
3.18730571e+03	5.63185400e-14	5.63185400e-15
3.18791666e+03	5.64620600e-14	5.64620600e-15
3.18852761e+03	4.95732000e-14	4.95732000e-15
3.18913856e+03	5.17389600e-14	5.17389600e-15
3.18974951e+03	5.48957100e-14	5.48957100e-15
3.19036046e+03	5.39717500e-14	5.39717500e-15
3.19097141e+03	5.49272100e-14	5.49272100e-15
3.19158236e+03	5.50727400e-14	5.50727400e-15
3.19219331e+03	5.32098300e-14	5.32098300e-15
3.19280427e+03	5.17337400e-14	5.17337400e-15
3.19341522e+03	5.32928300e-14	5.32928300e-15
3.19402617e+03	5.13981100e-14	5.13981100e-15
3.19463712e+03	5.45608800e-14	5.45608800e-15
3.19524807e+03	5.07854800e-14	5.07854800e-15
3.19585902e+03	5.36310000e-14	5.36310000e-15
3.19646997e+03	5.28902700e-14	5.28902700e-15
3.19708092e+03	5.29282200e-14	5.29282200e-15
3.19769187e+03	4.83179100e-14	4.83179100e-15
3.19830282e+03	5.17183300e-14	5.17183300e-15
3.19891377e+03	5.09780900e-14	5.09780900e-15
3.19952472e+03	5.58065700e-14	5.58065700e-15
3.20013568e+03	5.19626900e-14	5.19626900e-15
3.20074663e+03	5.07129200e-14	5.07129200e-15
3.20135758e+03	5.06401600e-14	5.06401600e-15
3.20196853e+03	4.87854300e-14	4.87854300e-15
3.20257948e+03	5.04787300e-14	5.04787300e-15
3.20319043e+03	5.02375300e-14	5.02375300e-15
3.20380138e+03	4.75944900e-14	4.75944900e-15
3.20441233e+03	4.65345000e-14	4.65345000e-15
3.20502328e+03	4.82464400e-14	4.82464400e-15
3.20563423e+03	4.75397000e-14	4.75397000e-15
3.20624518e+03	4.95874100e-14	4.95874100e-15
3.20685613e+03	5.21166600e-14	5.21166600e-15
3.20746709e+03	5.31355300e-14	5.31355300e-15
3.20807804e+03	4.80937200e-14	4.80937200e-15
3.20868899e+03	5.15971200e-14	5.15971200e-15
3.20929994e+03	4.70570600e-14	4.70570600e-15
3.20991089e+03	4.95378000e-14	4.95378000e-15
3.21052184e+03	5.00296500e-14	5.00296500e-15
3.21113279e+03	5.00793600e-14	5.00793600e-15
3.21174374e+03	4.99459100e-14	4.99459100e-15
3.21235469e+03	4.94469800e-14	4.94469800e-15
3.21296564e+03	4.93643600e-14	4.93643600e-15
3.21357659e+03	5.11062200e-14	5.11062200e-15
3.21418754e+03	5.14561200e-14	5.14561200e-15
3.21479849e+03	4.61212600e-14	4.61212600e-15
3.21540945e+03	4.81860900e-14	4.81860900e-15
3.21602040e+03	4.99457800e-14	4.99457800e-15
3.21663135e+03	4.78420400e-14	4.78420400e-15
3.21724230e+03	4.84243100e-14	4.84243100e-15
3.21785325e+03	5.02814000e-14	5.02814000e-15
3.21846420e+03	5.11820400e-14	5.11820400e-15
3.21907515e+03	5.15154700e-14	5.15154700e-15
3.21968610e+03	5.01863400e-14	5.01863400e-15
3.22029705e+03	4.99618400e-14	4.99618400e-15
3.22090800e+03	5.04304500e-14	5.04304500e-15
3.22151895e+03	4.63242100e-14	4.63242100e-15
3.22212990e+03	4.60835000e-14	4.60835000e-15
3.22274086e+03	4.89139000e-14	4.89139000e-15
3.22335181e+03	4.74224200e-14	4.74224200e-15
3.22396276e+03	4.61871700e-14	4.61871700e-15
3.22457371e+03	4.79897900e-14	4.79897900e-15
3.22518466e+03	4.82712000e-14	4.82712000e-15
3.22579561e+03	4.91441800e-14	4.91441800e-15
3.22640656e+03	5.05882500e-14	5.05882500e-15
3.22701751e+03	4.80594700e-14	4.80594700e-15
3.22762846e+03	4.73171700e-14	4.73171700e-15
3.22823941e+03	4.63569700e-14	4.63569700e-15
3.22885036e+03	4.65664000e-14	4.65664000e-15
3.22946131e+03	5.32965300e-14	5.32965300e-15
3.23007227e+03	5.17795000e-14	5.17795000e-15
3.23068322e+03	4.84793700e-14	4.84793700e-15
3.23129417e+03	4.80250500e-14	4.80250500e-15
3.23190512e+03	4.45438100e-14	4.45438100e-15
3.23251607e+03	4.67508700e-14	4.67508700e-15
3.23312702e+03	4.78678800e-14	4.78678800e-15
3.23373797e+03	4.81052900e-14	4.81052900e-15
3.23434892e+03	4.75306900e-14	4.75306900e-15
