wave	flux	eflux
3.25000000e+03	3.60497593e-16	3.60497593e-17
3.25174059e+03	3.33196212e-16	3.33196212e-17
3.25348118e+03	2.00814531e-16	2.00814531e-17
3.25522176e+03	1.73717537e-16	1.73717537e-17
3.25696235e+03	1.84610910e-16	1.84610910e-17
3.25870294e+03	3.34892475e-16	3.34892475e-17
3.26044353e+03	4.61335807e-16	4.61335807e-17
3.26218412e+03	2.93502872e-16	2.93502872e-17
3.26392470e+03	1.69218826e-16	1.69218826e-17
3.26566529e+03	3.31967035e-16	3.31967035e-17
3.26740588e+03	2.84969888e-16	2.84969888e-17
3.26914647e+03	2.74235519e-16	2.74235519e-17
3.27088706e+03	3.44221775e-16	3.44221775e-17
3.27262764e+03	3.95885518e-16	3.95885518e-17
3.27436823e+03	3.84405151e-16	3.84405151e-17
3.27610882e+03	2.26454735e-16	2.26454735e-17
3.27959000e+03	5.80247612e-17	5.80247612e-18
3.28133058e+03	1.58180054e-16	1.58180054e-17
3.28307117e+03	2.12561843e-17	2.12561843e-18
3.28655235e+03	5.43788866e-17	5.43788866e-18
3.28829293e+03	1.76210951e-16	1.76210951e-17
3.29003352e+03	1.37853672e-16	1.37853672e-17
3.29177411e+03	9.67320427e-17	9.67320427e-18
3.29351470e+03	2.03370705e-16	2.03370705e-17
3.29525529e+03	3.72686821e-16	3.72686821e-17
3.29699587e+03	3.53523574e-16	3.53523574e-17
3.29873646e+03	2.13872391e-16	2.13872391e-17
3.30047705e+03	1.53019784e-16	1.53019784e-17
3.30221764e+03	1.39394326e-17	1.39394326e-18
3.30395823e+03	1.15972085e-16	1.15972085e-17
3.30569881e+03	2.35984729e-16	2.35984729e-17
3.30743940e+03	6.89071295e-17	6.89071295e-18
3.30917999e+03	6.85484177e-17	6.85484177e-18
3.31092058e+03	1.31148480e-16	1.31148480e-17
3.31266117e+03	1.64849923e-16	1.64849923e-17
3.31440175e+03	1.56707038e-16	1.56707038e-17
3.31614234e+03	1.85638097e-16	1.85638097e-17
3.31788293e+03	1.40575507e-16	1.40575507e-17
3.31962352e+03	1.71276004e-16	1.71276004e-17
3.32136411e+03	1.39361748e-16	1.39361748e-17
3.32310469e+03	1.18557865e-16	1.18557865e-17
3.32484528e+03	2.34439450e-16	2.34439450e-17
3.32658587e+03	2.56246181e-16	2.56246181e-17
3.32832646e+03	2.19700269e-16	2.19700269e-17
3.33006705e+03	1.66127751e-16	1.66127751e-17
3.33180763e+03	9.14435263e-17	9.14435263e-18
3.33354822e+03	1.75853556e-16	1.75853556e-17
3.33528881e+03	2.39551850e-16	2.39551850e-17
3.33702940e+03	1.39454366e-16	1.39454366e-17
3.33876999e+03	1.63778373e-16	1.63778373e-17
3.34051057e+03	2.19181409e-16	2.19181409e-17
3.34225116e+03	9.10676952e-17	9.10676952e-18
3.34399175e+03	9.65770886e-17	9.65770886e-18
3.34573234e+03	7.26774055e-17	7.26774055e-18
3.34747293e+03	5.33621459e-17	5.33621459e-18
3.34921351e+03	2.01460222e-16	2.01460222e-17
3.35095410e+03	1.83688716e-16	1.83688716e-17
3.35269469e+03	8.46378350e-17	8.46378350e-18
3.35443528e+03	1.05745161e-16	1.05745161e-17
3.35617586e+03	2.14585593e-16	2.14585593e-17
3.35791645e+03	2.79926866e-16	2.79926866e-17
3.35965704e+03	2.94695230e-16	2.94695230e-17
3.36139763e+03	1.65198715e-16	1.65198715e-17
3.36313822e+03	7.22484429e-17	7.22484429e-18
3.36487880e+03	6.84705965e-17	6.84705965e-18
3.36835998e+03	6.07709280e-17	6.07709280e-18
3.37010057e+03	3.03376338e-16	3.03376338e-17
3.37184116e+03	2.58145493e-16	2.58145493e-17
3.37358174e+03	1.79815261e-16	1.79815261e-17
3.37532233e+03	2.65395936e-16	2.65395936e-17
3.37706292e+03	2.83389007e-16	2.83389007e-17
3.37880351e+03	1.91727972e-16	1.91727972e-17
3.38054410e+03	1.38331320e-16	1.38331320e-17
3.38228468e+03	2.26442241e-16	2.26442241e-17
3.38402527e+03	2.22055087e-16	2.22055087e-17
3.38576586e+03	1.38443856e-16	1.38443856e-17
3.38750645e+03	1.92401760e-16	1.92401760e-17
3.38924704e+03	2.87020661e-16	2.87020661e-17
3.39098762e+03	2.52454279e-16	2.52454279e-17
3.39272821e+03	1.30749515e-16	1.30749515e-17
3.39446880e+03	3.74974670e-17	3.74974670e-18
3.39620939e+03	6.24571721e-17	6.24571721e-18
3.39794998e+03	1.02096931e-16	1.02096931e-17
3.39969056e+03	1.62019668e-16	1.62019668e-17
3.40143115e+03	2.87777088e-16	2.87777088e-17
3.40317174e+03	2.61105820e-16	2.61105820e-17
3.40491233e+03	1.80218171e-16	1.80218171e-17
3.40665292e+03	1.06747003e-16	1.06747003e-17
3.40839350e+03	9.07234954e-17	9.07234954e-18
3.41013409e+03	2.29131756e-16	2.29131756e-17
3.41187468e+03	2.00250235e-16	2.00250235e-17
3.41361527e+03	1.42310482e-16	1.42310482e-17
3.41535586e+03	8.34391841e-17	8.34391841e-18
3.41709644e+03	1.91559982e-16	1.91559982e-17
3.41883703e+03	2.64937189e-16	2.64937189e-17
3.42057762e+03	1.95904864e-16	1.95904864e-17
3.42231821e+03	2.08660002e-16	2.08660002e-17
3.42405879e+03	3.54312108e-16	3.54312108e-17
3.42579938e+03	3.21962438e-16	3.21962438e-17
3.42753997e+03	2.21195640e-16	2.21195640e-17
3.42928056e+03	1.36653519e-16	1.36653519e-17
3.43102115e+03	1.17737765e-16	1.17737765e-17
3.43276173e+03	2.33099126e-16	2.33099126e-17
3.43450232e+03	2.11145845e-16	2.11145845e-17
3.43624291e+03	1.35735839e-16	1.35735839e-17
3.43798350e+03	1.67972933e-16	1.67972933e-17
3.43972409e+03	1.60664376e-16	1.60664376e-17
3.44146467e+03	1.76881629e-16	1.76881629e-17
3.44320526e+03	2.19105970e-16	2.19105970e-17
3.44494585e+03	1.67158445e-16	1.67158445e-17
3.44668644e+03	9.57619451e-17	9.57619451e-18
3.44842703e+03	1.25652917e-16	1.25652917e-17
3.45016761e+03	1.22578161e-16	1.22578161e-17
3.45190820e+03	6.16819186e-17	6.16819186e-18
3.45364879e+03	9.44375694e-17	9.44375694e-18
3.45538938e+03	1.59437568e-16	1.59437568e-17
3.45712997e+03	1.69103881e-16	1.69103881e-17
3.45887055e+03	1.69570318e-16	1.69570318e-17
3.46061114e+03	1.93765986e-16	1.93765986e-17
3.46235173e+03	1.49556491e-16	1.49556491e-17
3.46409232e+03	1.01232957e-16	1.01232957e-17
3.46583291e+03	9.67557067e-17	9.67557067e-18
3.46757349e+03	1.51789681e-16	1.51789681e-17
3.46931408e+03	1.64424183e-16	1.64424183e-17
3.47105467e+03	1.19926723e-16	1.19926723e-17
3.47279526e+03	1.54039149e-16	1.54039149e-17
3.47453585e+03	2.37219597e-16	2.37219597e-17
3.47627643e+03	2.04894226e-16	2.04894226e-17
3.47801702e+03	9.20657183e-17	9.20657183e-18
3.47975761e+03	1.32265809e-16	1.32265809e-17
3.48149820e+03	1.75951295e-16	1.75951295e-17
3.48323879e+03	1.11715599e-16	1.11715599e-17
3.48497937e+03	1.24761997e-16	1.24761997e-17
3.48671996e+03	1.63265931e-16	1.63265931e-17
3.48846055e+03	1.57915926e-16	1.57915926e-17
3.49020114e+03	1.14267220e-16	1.14267220e-17
3.49194173e+03	7.07136589e-17	7.07136589e-18
3.49368231e+03	4.78920105e-17	4.78920105e-18
3.49542290e+03	9.31822136e-17	9.31822136e-18
3.49716349e+03	1.20683110e-16	1.20683110e-17
3.49890408e+03	1.56631056e-16	1.56631056e-17
3.50064466e+03	1.15545220e-16	1.15545220e-17
3.50238525e+03	9.68479142e-17	9.68479142e-18
3.50412584e+03	8.06955848e-17	8.06955848e-18
3.50586643e+03	6.55674639e-17	6.55674639e-18
3.50760702e+03	6.79750955e-17	6.79750955e-18
3.50934760e+03	5.83166766e-17	5.83166766e-18
3.51108819e+03	1.69512237e-17	1.69512237e-18
3.51282878e+03	6.30617551e-17	6.30617551e-18
3.51456937e+03	1.19007256e-16	1.19007256e-17
3.51630996e+03	1.23467453e-16	1.23467453e-17
3.51805054e+03	1.20984879e-16	1.20984879e-17
3.51979113e+03	8.42748615e-17	8.42748615e-18
3.52153172e+03	8.53925943e-17	8.53925943e-18
3.52327231e+03	1.05931542e-16	1.05931542e-17
3.52501290e+03	1.13667189e-16	1.13667189e-17
3.52675348e+03	1.49234725e-16	1.49234725e-17
3.52849407e+03	1.46170676e-16	1.46170676e-17
3.53023466e+03	1.98804615e-16	1.98804615e-17
3.53197525e+03	1.82397812e-16	1.82397812e-17
3.53371584e+03	1.38828607e-16	1.38828607e-17
3.53545642e+03	9.23160563e-17	9.23160563e-18
3.53719701e+03	7.09870321e-17	7.09870321e-18
3.53893760e+03	1.07367144e-16	1.07367144e-17
3.54067819e+03	1.50538706e-16	1.50538706e-17
3.54241878e+03	1.18247639e-16	1.18247639e-17
3.54415936e+03	1.20949634e-16	1.20949634e-17
3.54589995e+03	1.86813633e-16	1.86813633e-17
3.54764054e+03	1.97429735e-16	1.97429735e-17
3.54938113e+03	2.44779710e-16	2.44779710e-17
3.55112172e+03	1.72788276e-16	1.72788276e-17
3.55286230e+03	1.35074028e-16	1.35074028e-17
3.55460289e+03	2.64233437e-16	2.64233437e-17
3.55634348e+03	2.70511618e-16	2.70511618e-17
3.55808407e+03	2.10856808e-16	2.10856808e-17
3.55982466e+03	1.78380096e-16	1.78380096e-17
3.56156524e+03	1.63334846e-16	1.63334846e-17
3.56330583e+03	1.52445747e-16	1.52445747e-17
3.56504642e+03	1.41097782e-16	1.41097782e-17
3.56678701e+03	6.40193788e-17	6.40193788e-18
3.56852759e+03	8.05277201e-17	8.05277201e-18
3.57026818e+03	8.25818610e-17	8.25818610e-18
3.57200877e+03	7.18351173e-17	7.18351173e-18
3.57374936e+03	8.69326590e-17	8.69326590e-18
3.57548995e+03	1.97767754e-16	1.97767754e-17
3.57723053e+03	2.40515482e-16	2.40515482e-17
3.57897112e+03	1.66283738e-16	1.66283738e-17
3.58071171e+03	1.73534657e-16	1.73534657e-17
3.58245230e+03	1.97050542e-16	1.97050542e-17
3.58419289e+03	9.42855998e-17	9.42855998e-18
3.58593347e+03	1.08157379e-16	1.08157379e-17
3.58767406e+03	1.52738649e-16	1.52738649e-17
3.58941465e+03	1.86420040e-16	1.86420040e-17
3.59115524e+03	1.96268214e-16	1.96268214e-17
3.59289583e+03	1.95650807e-16	1.95650807e-17
3.59463641e+03	1.78382028e-16	1.78382028e-17
3.59637700e+03	1.43171610e-16	1.43171610e-17
3.59811759e+03	1.26280489e-16	1.26280489e-17
3.59985818e+03	1.91145783e-16	1.91145783e-17
3.60159877e+03	1.86306882e-16	1.86306882e-17
3.60333935e+03	1.28867222e-16	1.28867222e-17
3.60507994e+03	8.94952976e-17	8.94952976e-18
3.60682053e+03	8.98948854e-17	8.98948854e-18
3.60856112e+03	9.73383992e-17	9.73383992e-18
3.61030171e+03	1.76033762e-16	1.76033762e-17
3.61204229e+03	1.75387754e-16	1.75387754e-17
3.61378288e+03	1.07407166e-16	1.07407166e-17
3.61552347e+03	1.93229087e-16	1.93229087e-17
3.61726406e+03	2.77356386e-16	2.77356386e-17
3.61900465e+03	1.69395710e-16	1.69395710e-17
3.62074523e+03	7.09977656e-17	7.09977656e-18
3.62248582e+03	1.54804324e-16	1.54804324e-17
3.62422641e+03	2.40372492e-16	2.40372492e-17
3.62596700e+03	2.69893046e-16	2.69893046e-17
3.62770759e+03	2.58738628e-16	2.58738628e-17
3.62944817e+03	2.05968568e-16	2.05968568e-17
3.63118876e+03	1.80355973e-16	1.80355973e-17
3.63292935e+03	2.00818171e-16	2.00818171e-17
3.63466994e+03	2.22555578e-16	2.22555578e-17
3.63641052e+03	1.80850905e-16	1.80850905e-17
3.63815111e+03	1.40998441e-16	1.40998441e-17
3.63989170e+03	1.58223928e-16	1.58223928e-17
3.64163229e+03	2.05158513e-16	2.05158513e-17
3.64337288e+03	1.23831849e-16	1.23831849e-17
3.64511346e+03	2.16249513e-17	2.16249513e-18
