wave	flux	eflux
3.20042432e+03	8.34846049e-16	8.34846049e-17
3.20216571e+03	1.24840502e-15	1.24840502e-16
3.20390711e+03	7.25802257e-16	7.25802257e-17
3.20564850e+03	7.70603047e-16	7.70603047e-17
3.20738990e+03	1.19977579e-15	1.19977579e-16
3.20913129e+03	1.01759203e-15	1.01759203e-16
3.21087269e+03	6.50193131e-16	6.50193131e-17
3.21261409e+03	6.98070610e-16	6.98070610e-17
3.21435548e+03	3.79752346e-16	3.79752346e-17
3.21957967e+03	1.58141342e-16	1.58141342e-17
3.22132106e+03	1.07949712e-15	1.07949712e-16
3.22306246e+03	4.77665384e-16	4.77665384e-17
3.22480385e+03	1.16480191e-15	1.16480191e-16
3.22654525e+03	1.68670041e-15	1.68670041e-16
3.22828665e+03	6.59913522e-16	6.59913522e-17
3.23002804e+03	1.92264713e-16	1.92264713e-17
3.23176944e+03	6.35325691e-16	6.35325691e-17
3.23351083e+03	8.76066854e-16	8.76066854e-17
3.23525223e+03	1.08475857e-15	1.08475857e-16
3.23699362e+03	1.34031211e-15	1.34031211e-16
3.23873502e+03	7.97907048e-16	7.97907048e-17
3.24047642e+03	1.89886774e-16	1.89886774e-17
3.24221781e+03	8.24226162e-16	8.24226162e-17
3.24395921e+03	1.18665917e-15	1.18665917e-16
3.24570060e+03	5.76270131e-16	5.76270131e-17
3.24744200e+03	1.80894778e-16	1.80894778e-17
3.24918339e+03	9.51257281e-16	9.51257281e-17
3.25092479e+03	1.61708680e-15	1.61708680e-16
3.25266618e+03	1.08528457e-15	1.08528457e-16
3.25789037e+03	4.30309625e-16	4.30309625e-17
3.25963177e+03	4.90026083e-16	4.90026083e-17
3.26659735e+03	2.00808867e-16	2.00808867e-17
3.27008014e+03	2.51721384e-16	2.51721384e-17
3.27182154e+03	8.35426690e-16	8.35426690e-17
3.27356293e+03	6.41083027e-16	6.41083027e-17
3.27530433e+03	4.77161929e-16	4.77161929e-17
3.27704572e+03	2.58647440e-16	2.58647440e-17
3.27878712e+03	5.84241028e-16	5.84241028e-17
3.28052851e+03	8.13774093e-16	8.13774093e-17
3.28226991e+03	2.23361265e-16	2.23361265e-17
3.28401130e+03	2.44548920e-16	2.44548920e-17
3.28575270e+03	1.70642159e-16	1.70642159e-17
3.28923549e+03	5.78927485e-16	5.78927485e-17
3.29097689e+03	1.18936565e-15	1.18936565e-16
3.29271828e+03	3.50029033e-16	3.50029033e-17
3.29445968e+03	4.68988061e-16	4.68988061e-17
