54552.34229      17.601      0.02      B
54553.35846      17.676      0.019      B
54554.16939      17.7265      0.02      B
54555.49999      17.783      0.0305      B
54556.28835      17.763      0.021      B
54557.32037      17.82      0.02      B
54558.28029      17.959      0.021      B
54559.29487      17.9115      0.0225      B
54564.17154      18.135      0.026      B
54565.28059      18.204      0.028      B
54566.20872      18.241      0.033      B
54569.2275      18.352      0.039      B
54570.19543      18.244      0.05      B
54572.19862      18.279      0.064      B
54575.31436      18.413      0.152      B
54576.26132      18.502      0.066      B
54579.21259      18.6355      0.045      B
54582.15377      18.741      0.038      B
54584.30301      18.83      0.0405      B
54585.19418      18.853      0.038      B
54586.24022      18.835      0.037      B
54592.13329      18.976      0.044      B
54593.24699      19.021      0.044      B
54594.3531      18.9815      0.0415      B
54597.2191      18.948      0.052      B
54599.15297      18.914      0.048      B
54603.22777      19.14      0.111      B
54615.19506      19.436      0.064      B
54618.19539      19.653      0.068      B
54622.1875      19.6605      0.0735      B
54629.16958      19.928      0.122      B
54636.18341      19.666      0.234      B
54676.15422      20.5795      0.298      B
54552.34787      17.206      0.0405      U
54553.36404      17.2555      0.04      U
54554.17434      17.415      0.039      U
54555.50373      17.701      0.119      U
54556.29391      17.548      0.0405      U
54557.32593      17.81      0.049      U
54558.28646      17.761      0.057      U
54559.30045      18.0525      0.05      U
54564.17713      18.3985      0.074      U
54565.28555      18.502      0.073      U
54566.21464      18.522      0.1      U
54569.23342      18.354      0.146      U
54570.20098      18.6445      0.187      U
54572.20237      19.276      0.195      U
54582.15872      19.77      0.209      U
54584.30857      19.4      0.2265      U
54585.19976      19.611      0.173      U
54586.24578      19.7775      0.206      U
54592.13885      19.7035      0.2155      U
54593.25165      19.752      0.202      U
54594.35865      19.8885      0.249      U
54599.15819      20.114      0.278      U
54622.1949      19.872      0.319      U
54629.17576      20.747      0.336      U
54552.33859      17.448      0.019      V
54553.35476      17.453      0.02      V
54554.16568      17.449      0.019      V
54555.49626      17.4525      0.0235      V
54556.28463      17.432      0.018      V
54557.31667      17.422      0.019      V
54558.27657      17.4365      0.019      V
54559.29115      17.462      0.019      V
54564.16784      17.541      0.02      V
54565.27689      17.571      0.021      V
54566.20501      17.593      0.0215      V
54569.2238      17.666      0.027      V
54570.1917      17.597      0.03      V
54572.19492      17.7275      0.022      V
54574.22597      17.702      0.037      V
54575.31066      17.7685      0.0335      V
54576.2576      17.777      0.024      V
54579.20889      17.813      0.023      V
54582.15006      17.859      0.023      V
54584.29929      17.888      0.024      V
54585.19048      17.9055      0.024      V
54586.23649      17.916      0.024      V
54592.12958      18.0275      0.024      V
54593.24328      18.049      0.024      V
54594.34939      18.054      0.025      V
54597.21538      18.102      0.027      V
54599.14927      18.094      0.027      V
54603.22405      18.141      0.03      V
54615.19135      18.3465      0.0305      V
54618.19169      18.3655      0.03      V
54622.18379      18.549      0.032      V
54629.16588      18.717      0.042      V
54633.19296      19.233      0.072      V
54636.1797      19.2815      0.091      V
54676.15052      20.559      0.2615      V
54552.33256      17.493      0.023      i'
54553.34874      17.522      0.022      i'
54554.15965      17.478      0.023      i'
54555.49024      17.485      0.023      i'
54556.27861      17.438      0.021      i'
54557.31064      17.465      0.022      i'
54558.27053      17.443      0.023      i'
54559.2851      17.448      0.021      i'
54564.16179      17.443      0.022      i'
54565.27087      17.441      0.0215      i'
54566.19897      17.461      0.0215      i'
54568.11154      17.5015      0.024      i'
54569.21778      17.489      0.021      i'
54570.18566      17.515      0.028      i'
54572.18889      17.551      0.023      i'
54574.21994      17.5735      0.034      i'
54575.30463      17.583      0.0315      i'
54576.25157      17.551      0.023      i'
54579.20286      17.636      0.024      i'
54582.14404      17.621      0.024      i'
54584.29326      17.658      0.022      i'
54585.18444      17.675      0.025      i'
54586.23047      17.676      0.024      i'
54590.23375      17.752      0.027      i'
54592.12355      17.802      0.027      i'
54593.23724      17.767      0.025      i'
54594.34337      17.777      0.026      i'
54597.20935      17.804      0.026      i'
54599.14325      17.815      0.027      i'
54603.21804      17.865      0.027      i'
54608.13881      17.975      0.032      i'
54615.18532      18.054      0.026      i'
54618.18566      18.071      0.0295      i'
54622.17774      18.173      0.028      i'
54629.15985      18.36      0.037      i'
54633.18693      18.557      0.068      i'
54636.17366      18.631      0.064      i'
54676.14448      19.881      0.167      i'
54552.33557      17.365      0.018      r'
54553.35175      17.352      0.019      r'
54554.16266      17.331      0.018      r'
54555.49324      17.32      0.022      r'
54556.28162      17.305      0.02      r'
54557.31366      17.296      0.018      r'
54558.27355      17.297      0.018      r'
54559.28812      17.2945      0.017      r'
54564.16481      17.321      0.0185      r'
54565.27387      17.3385      0.018      r'
54566.20199      17.338      0.019      r'
54568.11456      17.3875      0.023      r'
54569.22079      17.374      0.02      r'
54570.18868      17.434      0.022      r'
54572.1919      17.43      0.02      r'
54574.22296      17.4035      0.033      r'
54575.30765      17.456      0.031      r'
54576.25458      17.4295      0.02      r'
54579.20587      17.511      0.019      r'
54582.14705      17.513      0.019      r'
54584.29627      17.572      0.021      r'
54586.23347      17.573      0.0195      r'
54592.12656      17.611      0.019      r'
54593.24027      17.637      0.0185      r'
54594.34638      17.665      0.02      r'
54597.21236      17.692      0.02      r'
54599.14626      17.7015      0.02      r'
54603.22104      17.781      0.0225      r'
54608.14183      17.808      0.023      r'
54615.18833      17.862      0.023      r'
54618.18867      17.943      0.024      r'
54622.18076      18.002      0.0225      r'
54629.16287      18.191      0.024      r'
54633.18994      18.435      0.0525      r'
54636.17668      18.448      0.073      r'
54676.15219      19.5985      0.1365      r'
