wave	flux	eflux
3.28857646e+03	1.00528496e-15	1.00528496e-16
3.29031802e+03	1.19234139e-15	1.19234139e-16
3.29205958e+03	1.36037239e-15	1.36037239e-16
3.29380113e+03	1.10960935e-15	1.10960935e-16
3.29554269e+03	1.04238109e-15	1.04238109e-16
3.29728425e+03	1.16501462e-15	1.16501462e-16
3.29902580e+03	1.09497993e-15	1.09497993e-16
3.30076736e+03	9.99431115e-16	9.99431115e-17
3.30250892e+03	1.03237805e-15	1.03237805e-16
3.30425047e+03	1.42410453e-15	1.42410453e-16
3.30599203e+03	1.17536695e-15	1.17536695e-16
3.30773359e+03	1.10938552e-15	1.10938552e-16
3.30947515e+03	1.09564749e-15	1.09564749e-16
3.31121670e+03	1.12629685e-15	1.12629685e-16
3.31295826e+03	1.25099323e-15	1.25099323e-16
3.31469982e+03	1.12669887e-15	1.12669887e-16
3.31644137e+03	1.13119853e-15	1.13119853e-16
3.31818293e+03	1.25581571e-15	1.25581571e-16
3.31992449e+03	1.36490360e-15	1.36490360e-16
3.32166604e+03	1.23313926e-15	1.23313926e-16
3.32340760e+03	1.16259793e-15	1.16259793e-16
3.32514916e+03	1.27051226e-15	1.27051226e-16
3.32689072e+03	1.37330002e-15	1.37330002e-16
3.32863227e+03	1.40970952e-15	1.40970952e-16
3.33037383e+03	1.22067824e-15	1.22067824e-16
3.33211539e+03	1.14034997e-15	1.14034997e-16
3.33385694e+03	1.21871058e-15	1.21871058e-16
3.33559850e+03	1.22460561e-15	1.22460561e-16
3.33734006e+03	1.28208537e-15	1.28208537e-16
3.33908161e+03	1.38730984e-15	1.38730984e-16
3.34082317e+03	1.30329000e-15	1.30329000e-16
3.34256473e+03	1.25730574e-15	1.25730574e-16
3.34430629e+03	1.06717406e-15	1.06717406e-16
3.34604784e+03	1.40646613e-15	1.40646613e-16
3.34778940e+03	1.45696560e-15	1.45696560e-16
3.34953096e+03	1.38313259e-15	1.38313259e-16
3.35127251e+03	1.25402413e-15	1.25402413e-16
