wave	flux	eflux
3.34331520e+03	7.88829240e-16	9.89708700e-17
3.34739620e+03	7.52061870e-16	9.83507300e-17
3.35147730e+03	6.45214060e-16	9.28292200e-17
3.35555800e+03	5.00169360e-16	9.00041060e-17
3.35963920e+03	7.54359700e-16	9.17545100e-17
3.36372020e+03	9.03232400e-16	8.97747460e-17
3.36780130e+03	6.09448730e-16	8.49497300e-17
3.37188200e+03	5.43433400e-16	8.22692200e-17
3.37596310e+03	7.55243960e-16	8.32857850e-17
3.38004420e+03	5.50497900e-16	7.96433200e-17
3.38412520e+03	6.22683940e-16	7.73881800e-17
3.38820600e+03	7.12899700e-16	7.78216900e-17
3.39228700e+03	7.85731900e-16	7.67871800e-17
3.39636820e+03	7.23842200e-16	7.37808600e-17
3.40044900e+03	6.83886350e-16	7.33065660e-17
3.40453000e+03	8.82517700e-16	7.33443600e-17
3.40861100e+03	7.70607860e-16	7.08981600e-17
3.41269210e+03	6.43985760e-16	6.80873900e-17
3.41677300e+03	6.41006640e-16	6.61180100e-17
3.42085400e+03	6.49373040e-16	6.64537200e-17
3.42493500e+03	7.00548130e-16	6.57567800e-17
3.42901600e+03	5.87510100e-16	6.38408500e-17
3.43309700e+03	6.23446300e-16	6.22600250e-17
3.43717800e+03	6.30521740e-16	6.26682700e-17
3.44125900e+03	6.27083160e-16	6.15637900e-17
3.44534000e+03	4.41111970e-16	5.78045500e-17
3.44942100e+03	7.01691700e-16	5.91022860e-17
3.45350200e+03	6.69499870e-16	5.80871040e-17
3.45758300e+03	6.56455900e-16	5.74249200e-17
3.46166400e+03	5.92440200e-16	5.67143100e-17
3.46574490e+03	6.97549840e-16	5.72638800e-17
3.46982600e+03	6.88550400e-16	5.62214500e-17
3.47390700e+03	6.83313230e-16	5.54867730e-17
3.47798780e+03	7.27373900e-16	5.39934530e-17
3.48206880e+03	6.89008470e-16	5.29468880e-17
3.48615000e+03	7.86803700e-16	5.37857400e-17
3.49023100e+03	6.15939440e-16	5.11278580e-17
3.49431180e+03	7.31324750e-16	5.18947340e-17
3.49839280e+03	6.79479770e-16	5.07619630e-17
3.50247390e+03	7.22667230e-16	5.06369270e-17
3.50655500e+03	6.33848940e-16	4.86171300e-17
3.51063570e+03	6.85982500e-16	4.76840240e-17
3.51471680e+03	7.08377800e-16	4.81400950e-17
3.51879790e+03	6.61113800e-16	4.66914440e-17
3.52287900e+03	6.74625000e-16	4.66807000e-17
3.52695970e+03	6.19085200e-16	4.61014130e-17
3.53104080e+03	6.60663250e-16	4.66783600e-17
3.53512180e+03	6.75338950e-16	4.59647520e-17
3.53920300e+03	7.26994670e-16	4.56746500e-17
3.54328370e+03	6.42917100e-16	4.49433830e-17
3.54736470e+03	6.26183770e-16	4.39593160e-17
3.55144580e+03	7.02570740e-16	4.39742300e-17
3.55552660e+03	6.62753150e-16	4.27406080e-17
3.55960770e+03	6.77145800e-16	4.23140400e-17
3.56368870e+03	7.26980400e-16	4.26412700e-17
3.56776980e+03	6.42809400e-16	4.13925000e-17
3.57185060e+03	6.30279230e-16	4.07795970e-17
3.57593160e+03	6.89951270e-16	4.08964480e-17
3.58001270e+03	6.98837230e-16	4.03445370e-17
3.58409380e+03	7.22001570e-16	4.06714580e-17
3.58817460e+03	5.68855840e-16	3.89984100e-17
3.59225560e+03	6.57343300e-16	3.90655200e-17
3.59633670e+03	7.46922550e-16	3.95118900e-17
3.60041770e+03	6.95595370e-16	3.83749340e-17
3.60449850e+03	6.79276430e-16	3.81755040e-17
3.60857960e+03	7.41109500e-16	3.85437700e-17
3.61266060e+03	6.64271600e-16	3.76622680e-17
3.61674170e+03	6.79468650e-16	3.75683170e-17
3.62082250e+03	6.48745230e-16	3.71919860e-17
3.62490360e+03	7.09010250e-16	3.72706800e-17
3.62898460e+03	6.64012630e-16	3.68238500e-17
3.63306540e+03	6.38163150e-16	3.60321900e-17
3.63714650e+03	5.84588470e-16	3.53382180e-17
3.64122750e+03	6.69790560e-16	3.60415300e-17
3.64530860e+03	5.61194700e-16	3.44239450e-17
3.64938940e+03	6.40535300e-16	3.46924680e-17
3.65347050e+03	6.25047400e-16	3.41509950e-17
3.65755150e+03	6.70448440e-16	3.41309900e-17
3.66163260e+03	6.25095230e-16	3.34922120e-17
3.66571340e+03	7.12608500e-16	3.40110860e-17
3.66979440e+03	7.29655250e-16	3.34750830e-17
3.67387550e+03	6.63535330e-16	3.29662900e-17
