wave	flux	eflux
3.32187221e+03	1.83015700e-15	1.83015700e-16
3.32247315e+03	2.04291900e-15	2.04291900e-16
3.32307410e+03	1.78897800e-15	1.78897800e-16
3.32367505e+03	1.56907500e-15	1.56907500e-16
3.32427599e+03	1.71880700e-15	1.71880700e-16
3.32487694e+03	1.70537400e-15	1.70537400e-16
3.32547789e+03	1.73200900e-15	1.73200900e-16
3.32607884e+03	1.65740600e-15	1.65740600e-16
3.32667978e+03	1.62685000e-15	1.62685000e-16
3.32728073e+03	1.52308500e-15	1.52308500e-16
3.32788168e+03	1.62124900e-15	1.62124900e-16
3.32848262e+03	2.34055600e-15	2.34055600e-16
3.32908357e+03	1.23553400e-15	1.23553400e-16
3.32968452e+03	1.61536200e-15	1.61536200e-16
3.33028546e+03	2.06388700e-15	2.06388700e-16
3.33088641e+03	1.38981800e-15	1.38981800e-16
3.33148736e+03	1.27277600e-15	1.27277600e-16
3.33208831e+03	9.84137400e-16	9.84137400e-17
3.33268925e+03	1.66634200e-15	1.66634200e-16
3.33329020e+03	1.96469400e-15	1.96469400e-16
3.33389115e+03	1.22075400e-15	1.22075400e-16
3.33449209e+03	1.23877100e-15	1.23877100e-16
3.33509304e+03	1.49583400e-15	1.49583400e-16
3.33569399e+03	1.80600600e-15	1.80600600e-16
3.33629494e+03	1.56318400e-15	1.56318400e-16
3.33689588e+03	1.44276100e-15	1.44276100e-16
3.33749683e+03	1.65963900e-15	1.65963900e-16
3.33809778e+03	1.70086500e-15	1.70086500e-16
3.33869872e+03	8.33063000e-16	8.33063000e-17
3.33929967e+03	6.85075300e-16	6.85075300e-17
3.33990062e+03	1.14221100e-15	1.14221100e-16
3.34050157e+03	7.34120800e-16	7.34120800e-17
3.34110251e+03	8.63437100e-16	8.63437100e-17
3.34170346e+03	1.30201100e-15	1.30201100e-16
3.34230441e+03	1.20043100e-15	1.20043100e-16
3.34290535e+03	9.44822800e-16	9.44822800e-17
3.34350630e+03	1.16657100e-15	1.16657100e-16
3.34410725e+03	1.61785400e-15	1.61785400e-16
3.34470819e+03	1.59756600e-15	1.59756600e-16
3.34530914e+03	1.99119900e-15	1.99119900e-16
3.34591009e+03	1.63208900e-15	1.63208900e-16
3.34651104e+03	2.08548000e-15	2.08548000e-16
3.34711198e+03	1.48249800e-15	1.48249800e-16
3.34771293e+03	8.38461400e-16	8.38461400e-17
3.34831388e+03	9.04512700e-16	9.04512700e-17
3.34891482e+03	7.99988400e-16	7.99988400e-17
3.34951577e+03	1.16997300e-15	1.16997300e-16
3.35011672e+03	1.32006600e-15	1.32006600e-16
3.35071767e+03	1.16536100e-15	1.16536100e-16
3.35131861e+03	1.70171500e-15	1.70171500e-16
3.35191956e+03	1.33629500e-15	1.33629500e-16
3.35252051e+03	1.62261200e-15	1.62261200e-16
3.35312145e+03	2.03707700e-15	2.03707700e-16
3.35372240e+03	1.97404300e-15	1.97404300e-16
3.35432335e+03	1.58435400e-15	1.58435400e-16
3.35492430e+03	1.59928200e-15	1.59928200e-16
3.35552524e+03	1.36514900e-15	1.36514900e-16
