wave	flux	eflux
3.45000000e+03	1.87195510e-15	5.32341000e-16
3.45200000e+03	1.88627840e-15	5.49612400e-16
3.45400000e+03	3.68335330e-15	5.45285300e-16
3.45600000e+03	1.70569720e-15	5.42182300e-16
3.45800000e+03	3.93859330e-15	5.47467700e-16
3.46000000e+03	2.22249880e-15	5.29146600e-16
3.46200000e+03	3.52042600e-16	5.24908100e-16
3.46400000e+03	1.91131060e-15	5.26417300e-16
3.46600000e+03	2.14566550e-15	5.26555600e-16
3.46800000e+03	1.87178540e-15	5.28257900e-16
3.47000000e+03	1.94039050e-15	5.20043600e-16
3.47200000e+03	2.12578050e-15	5.06299500e-16
3.47400000e+03	1.68217200e-15	5.00468300e-16
3.47600000e+03	2.13453710e-15	5.29093400e-16
3.47800000e+03	9.19705700e-16	5.71034900e-16
3.48000000e+03	5.06041920e-15	6.04057100e-16
3.48200000e+03	8.00647300e-16	5.90725100e-16
3.48400000e+03	2.48952630e-15	5.77928400e-16
3.48600000e+03	1.19569820e-15	5.73963500e-16
3.48800000e+03	3.20505470e-15	5.63605800e-16
3.49000000e+03	1.82344650e-15	5.44570300e-16
3.49200000e+03	1.61014150e-15	5.37470800e-16
3.49400000e+03	3.16564220e-15	5.37884300e-16
3.49600000e+03	1.40215430e-15	5.31789900e-16
3.49800000e+03	2.54064660e-15	5.29110800e-16
3.50000000e+03	2.95578250e-15	5.33361300e-16
3.50200000e+03	1.94799630e-15	5.20342900e-16
3.50400000e+03	1.58208020e-15	5.14579100e-16
3.50600000e+03	1.74500350e-15	5.05797900e-16
3.50800000e+03	2.85237690e-15	5.28685500e-16
3.51000000e+03	2.93608660e-15	5.28094900e-16
3.51200000e+03	3.24230780e-15	5.31491300e-16
3.51400000e+03	1.94055210e-15	5.14139500e-16
3.51600000e+03	2.72247920e-15	5.21582200e-16
3.51800000e+03	3.26545370e-15	5.17272600e-16
3.52000000e+03	9.33149000e-16	4.97440500e-16
3.52200000e+03	2.56645600e-15	5.00002500e-16
3.52400000e+03	2.69750420e-15	5.04135800e-16
3.52600000e+03	3.15300990e-15	4.85642100e-16
3.52800000e+03	1.79243090e-15	4.82521000e-16
3.53000000e+03	3.69578400e-15	4.94954400e-16
3.53200000e+03	1.27521010e-15	4.86728900e-16
3.53400000e+03	2.24768690e-15	4.83046800e-16
3.53600000e+03	2.11465310e-15	4.98271200e-16
3.53800000e+03	2.49247110e-15	4.98150700e-16
3.54000000e+03	3.86711530e-15	5.33532200e-16
3.54200000e+03	2.95192690e-15	5.60472200e-16
3.54400000e+03	1.26328650e-15	5.61590000e-16
3.54600000e+03	1.23699770e-15	5.59566800e-16
3.54800000e+03	2.60670930e-15	5.33367700e-16
3.55000000e+03	3.17467740e-15	5.28247200e-16
3.55200000e+03	1.47366420e-15	5.35795100e-16
3.55400000e+03	2.36799300e-15	5.44385500e-16
3.55600000e+03	6.90312500e-16	5.37292700e-16
3.55800000e+03	1.04712420e-15	5.30777400e-16
3.56000000e+03	1.25425400e-15	5.16851100e-16
3.56200000e+03	1.93320480e-15	4.91030300e-16
3.56400000e+03	1.77773100e-15	4.85406000e-16
3.56600000e+03	2.75821250e-15	4.93836400e-16
3.56800000e+03	1.56343580e-15	4.94483400e-16
3.57000000e+03	2.60791070e-15	4.93164800e-16
3.57200000e+03	2.07205200e-15	5.06496000e-16
3.57400000e+03	2.04558010e-15	5.07167700e-16
3.57600000e+03	1.63821770e-15	4.84513600e-16
3.57800000e+03	2.10801520e-15	4.84005500e-16
3.58000000e+03	1.55721530e-15	4.73095100e-16
3.58200000e+03	1.00187900e-15	4.54409600e-16
3.58400000e+03	2.27088420e-15	4.25035000e-16
3.58600000e+03	2.33795700e-15	4.24284800e-16
3.58800000e+03	8.06447900e-16	4.50010900e-16
3.59000000e+03	2.73051960e-15	4.67857900e-16
3.59200000e+03	2.70431260e-15	4.47458100e-16
3.59400000e+03	3.16419040e-15	4.30909300e-16
3.59600000e+03	1.37219170e-15	4.12947400e-16
3.59800000e+03	3.77538790e-15	4.17653200e-16
3.60000000e+03	4.03227960e-15	4.16591100e-16
3.60200000e+03	2.38413580e-15	4.05155900e-16
3.60400000e+03	1.76227770e-15	3.94747200e-16
3.60600000e+03	1.23175070e-15	3.88068900e-16
3.60800000e+03	2.38330020e-15	3.90775100e-16
3.61000000e+03	3.26830890e-15	4.14198200e-16
3.61200000e+03	1.70189600e-15	4.50907700e-16
3.61400000e+03	2.73889220e-15	4.70785000e-16
3.61600000e+03	2.46566260e-15	4.41490300e-16
3.61800000e+03	2.06238830e-15	4.22266700e-16
3.62000000e+03	2.02244010e-15	4.06615600e-16
3.62200000e+03	1.42215790e-15	4.02019300e-16
3.62400000e+03	1.88114170e-15	4.02930400e-16
3.62600000e+03	1.59468580e-15	4.03313100e-16
3.62800000e+03	2.08815310e-15	4.26459300e-16
3.63000000e+03	2.08904230e-15	4.59549300e-16
3.63200000e+03	2.21880980e-15	4.53575800e-16
3.63400000e+03	2.53816440e-15	4.31619700e-16
3.63600000e+03	1.40083500e-15	4.26858100e-16
3.63800000e+03	3.48598970e-15	4.34375100e-16
3.64000000e+03	1.99770190e-15	4.50020400e-16
3.64200000e+03	1.71557350e-15	4.89166800e-16
3.64400000e+03	2.25085440e-15	5.00544300e-16
3.64600000e+03	2.77763040e-15	5.54578800e-16
3.64800000e+03	1.67160150e-15	8.01585800e-16
3.65000000e+03	1.23817850e-15	9.04163300e-16
3.65200000e+03	4.66363700e-16	8.07270000e-16
3.65400000e+03	2.51096780e-15	7.06849900e-16
3.65800000e+03	2.03575850e-15	4.70021500e-16
