59233.91 19.76 0.04 u
59236.9 20.2 0.25 u
59238.96 20.68 0.15 u
59233.91 19.22 0.04 B
59236.89 19.32 0.07 B
59237.08 19.38 0.08 B
59238.95 19.46 0.07 B
59239.32 19.43 0.12 B
59241.24 19.71 0.18 B
59245.22 19.87 0.15 B
59248.15 20.16 0.08 B
59252.18 20.32 0.08 B
59256.23 20.44 0.1 B
59265.03 20.59 0.18 B
59277.11 20.81 0.11 B
59291.26 20.79 0.08 B
59342.89 20.83 0.09 B
59371.89 22.37 0.09 B
59224.42 18.85 0.08 g
59226.4 18.76 0.11 g
59228.24 18.62 0.08 g
59230.24 18.66 0.08 g
59232.32 18.72 0.09 g
59233.91 18.9 0.04 g
59236.9 18.97 0.03 g
59237.09 18.96 0.07 g
59238.96 19.01 0.01 g
59239.41 19.14 0.07 g
59241.26 19.21 0.12 g
59245.23 19.22 0.07 g
59248.17 19.31 0.04 g
59248.39 19.36 0.11 g
59250.22 19.31 0.18 g
59252.19 19.36 0.12 g
59252.2 19.31 0.04 g
59254.18 19.32 0.14 g
59256.18 19.28 0.11 g
59256.25 19.35 0.03 g
59260.39 19.31 0.21 g
59265.04 19.28 0.08 g
59265.31 19.36 0.13 g
59267.3 19.36 0.19 g
59273.21 19.32 0.27 g
59277.13 19.47 0.03 g
59278.18 19.33 0.18 g
59281.21 19.42 0.13 g
59291.27 19.5 0.03 g
59293.21 19.53 0.11 g
59297.25 19.53 0.06 g
59302.17 19.58 0.22 g
59306.31 19.34 0.14 g
59308.22 19.42 0.15 g
59310.23 19.33 0.12 g
59312.28 19.36 0.14 g
59316.28 19.32 0.11 g
59319.27 19.34 0.13 g
59322.27 19.31 0.19 g
59324.22 19.25 0.15 g
59342.89 19.27 0.05 g
59343.12 19.26 0.04 g
59353.89 19.33 0.07 g
59371.89 20.1 0.1 g
59376.02 21.65 0.14 g
59233.91 18.61 0.03 V
59236.89 18.65 0.03 V
59237.08 18.61 0.07 V
59238.95 18.64 0.04 V
59239.32 18.63 0.09 V
59241.24 18.62 0.12 V
59245.22 18.76 0.08 V
59248.15 18.67 0.04 V
59252.18 18.63 0.04 V
59256.23 18.67 0.03 V
59265.03 18.61 0.1 V
59271.22 18.57 0.1 V
59277.11 18.68 0.02 V
59291.26 18.69 0.02 V
59297.23 18.64 0.06 V
59342.89 18.32 0.04 V
59343.12 18.38 0.03 V
59365.88 18.63 0.03 V
59371.89 19.15 0.02 V
59376.01 20.8 0.15 V
59226.4 18.4 0.09 r
59228.24 18.32 0.07 r
59230.24 18.3 0.06 r
59232.32 18.29 0.05 r
59233.91 18.32 0.03 r
59236.9 18.34 0.02 r
59237.09 18.37 0.06 r
59238.96 18.29 0.03 r
59239.41 18.32 0.04 r
59241.26 18.33 0.09 r
59245.23 18.34 0.05 r
59248.39 18.31 0.07 r
59250.22 18.28 0.07 r
59252.19 18.26 0.05 r
59252.2 18.25 0.03 r
59254.18 18.23 0.05 r
59256.18 18.26 0.05 r
59256.25 18.26 0.03 r
59260.39 18.22 0.08 r
59263.21 18.19 0.1 r
59265.04 18.13 0.06 r
59265.31 18.15 0.07 r
59267.3 18.1 0.08 r
59271.23 18.12 0.08 r
59271.27 18.14 0.08 r
59273.21 18.13 0.1 r
59275.33 18.07 0.06 r
59277.13 18.12 0.02 r
59278.18 18.06 0.07 r
59281.21 18.06 0.06 r
59287.06 18.2 0.24 r
59291.2 18.1 0.07 r
59291.27 18.07 0.02 r
59293.21 18.09 0.08 r
59296.22 17.98 0.13 r
59297.25 18.07 0.03 r
59298.29 18.02 0.22 r
59304.16 17.98 0.06 r
59306.31 17.97 0.09 r
59308.22 17.97 0.06 r
59312.28 17.94 0.06 r
59314.28 17.89 0.05 r
59316.28 17.83 0.04 r
59322.27 17.79 0.06 r
59324.22 17.74 0.06 r
59328.18 17.7 0.06 r
59342.89 17.72 0.02 r
59343.12 17.74 0.02 r
59353.89 17.74 0.04 r
59359.97 17.75 0.03 r
59365.87 17.81 0.03 r
59367.89 17.96 0.04 r
59368.94 18.07 0.06 r
59369.95 18.14 0.06 r
59371.89 18.36 0.03 r
59376.02 19.19 0.05 r
59382.91 20.7 0.16 r
59388.9 20.83 0.13 r
59397.17 21.06 0.19 r
59405.23 21.22 0.08 r
59233.91 18.26 0.03 i
59236.9 18.23 0.02 i
59237.09 18.22 0.06 i
59238.96 18.17 0.03 i
59239.41 18.21 0.05 i
59241.26 18.14 0.11 i
59245.23 18.14 0.05 i
59248.17 18.15 0.04 i
59252.2 18.13 0.04 i
59256.25 18.07 0.09 i
59265.04 17.85 0.06 i
59277.13 17.8 0.02 i
59287.06 17.85 0.11 i
59291.27 17.74 0.01 i
59297.25 17.74 0.03 i
59342.89 17.36 0.01 i
59353.89 17.28 0.03 i
59359.97 17.3 0.03 i
59365.87 17.38 0.03 i
59367.89 17.52 0.07 i
59368.94 17.69 0.08 i
59369.95 17.74 0.03 i
59371.89 18.01 0.02 i
59376.02 18.57 0.03 i
59382.91 19.96 0.09 i
59388.9 20.09 0.07 i
59397.17 20.25 0.08 i
59405.23 20.3 0.05 i
59233.91 18.15 0.05 z
59236.9 18.11 0.03 z
59238.96 18.01 0.04 z
59265.04 17.93 0.18 z
59287.06 17.6 0.05 z
59342.89 17.15 0.02 z
59371.89 17.75 0.02 z
59376.02 18.23 0.05 z
59382.91 19.54 0.08 z
59388.9 19.58 0.06 z
59397.17 19.69 0.06 z
59405.23 19.76 0.16 z
